id_feedback,customer_id,Review,sentiment
,KH13560,The handle of the pan snapped off while cooking. Disappointing.,null
,KH49745,The athletic wear is breathable and great for workouts.,null
,KH38013,These shorts are comfortable and great for lounging.,positive
,KH30315,The language in the textbook is too technical and hard to follow.,null
,KH34577,The poetry in this book is touching and beautifully crafted.,positive
,KH19899,Average performance—not bad but not great either.,neutral
,KH9318,The shoes are lightweight and provide great arch support.,positive
,KH32666,This book is a masterpiece! I couldn’t put it down.,positive
,KH30204,The laptop cooling pad keeps my device cool and silent.,positive
,KH45597,The shorts are fine but started fading after a few washes.,negative
,KH14501,The fan makes a loud noise when operating. Not great.,negative
,KH12878,The children’s book is both fun and educational.,positive
,KH26626,The earbuds fit perfectly and have amazing sound quality.,positive
,KH3767,The device didn’t last more than two months. Waste of money.,negative
,KH43914,This organizer has helped me declutter my room beautifully.,positive
,KH19566,"The TV's picture quality is stunning, and the sound is crystal clear.",positive
,KH27857,The shirt’s color faded after just one wash. Disappointed.,negative
,KH34824,The dress fits perfectly and feels very comfortable.,positive
,KH3194,The thriller had twists I didn’t see coming. Incredible read!,positive
,KH41963,This keyboard is responsive and great for typing long hours.,null
,KH18371,These jeans are high-quality and fit like a dream.,positive
,KH47275,The blender motor burned out after a month. Not worth it.,null
,KH37648,The cardigan is soft and goes with almost anything.,null
,KH29543,"It’s an okay product, but I’ve seen better in this price range.",null
,KH30315,"The fan is powerful yet quiet, a perfect combination.",null
,KH37401,The pressure cooker works perfectly and cooks meals fast.,null
,KH23007,The self-help book is motivating and packed with useful advice.,null
,KH19678,The coffee table looks nice but wobbles a lot. Mixed bag.,null
,KH29520,This vacuum cleaner is lightweight and easy to maneuver.,null
,KH36148,The travel guide is full of useful tips and beautiful photos.,null
,KH21200,This biography is inspiring and very well-written.,null
,KH48779,The manual was confusing and hard to follow.,null
,KH17787,The display started flickering after a week. Very frustrating.,null
,KH38871,The soundbar enhances the audio experience to a whole new level.,null
,KH262,The characters are flat and not relatable at all.,null
,KH37878,The jacket zipper broke after a few uses. Poor quality.,null
,KH17787,The story is predictable and didn’t keep me engaged.,null
,KH33453,The dishwasher cleans dishes thoroughly and saves a lot of time.,null
,KH8692,The belt is sturdy and looks great with my outfits.,null
,KH42924,"It works okay for its price, but it’s nothing special.",null
,KH41632,The buttons feel flimsy and low quality.,null
,KH32042,The pants tore after just one wear. Very disappointed.,null
,KH30315,The hat is stylish and keeps me warm during cold days.,null
,KH3458,This coffee table is well-made and looks fantastic.,null
,KH22507,Battery life is excellent and lasts all day without any issues.,null
,KH16048,The T-shirt fabric is soft and doesn’t shrink after washing.,null
,KH16124,Not as durable as advertised. A mixed experience.,null
,KH136,The fabric on the chair started tearing within weeks.,null
,KH48836,"Setup was simple, and the product works like a charm.",null
,KH24189,The poetry collection is hit or miss depending on the poem.,null
,KH3767,This jacket is warm and stylish. I love it!,null
,KH37747,The guidebook has some useful info but is mostly outdated.,null
,KH46563,"The camera lens produces sharp, vibrant photos every time.",null
,KH8709,This book was boring and predictable. A waste of time.,null
,KH25495,This rug feels soft and looks very stylish in my living room.,null
,KH9411,"The socks are okay, but they wear out quickly.",null
,KH24993,"The device works, but it’s nothing special. Very average.",null
,KH18715,The tablet is lightweight and works perfectly for reading and browsing.,null
,KH19640,The history book is detailed and fascinating to read.,null
,KH40849,The router provides a strong and stable connection throughout my home.,null
,KH32095,"This smartphone has exceeded my expectations, especially the camera.",null
,KH24189,The fantasy novel has a weak plot and inconsistent pacing.,null
,KH7187,The pillows are soft and supportive. Perfect for sleeping.,null
,KH45649,The heater warms up the room quickly and evenly.,null
,KH8120,The plot starts strong but fizzles out midway. Mixed feelings.,null
,KH7979,"The scarf is nice, but the stitching could be better.",null
,KH31303,The jacket doesn’t provide enough warmth in colder weather.,null
,KH28196,"The design looks nice, but the quality isn’t great.",null
,KH21195,The gloves are durable and keep my hands warm.,null
