Review,Sentiment
book OVERHYPED DIDNT meet expectation,NEGATIVE
speaker LOUD CLEAR PERFECT party,NEGATIVE
CHARGE speed FASTER expect,POSITIVE
shoe UNCOMFORTABLE GIVE BLISTER,NEGATIVE
MYSTERY novel okay LACK REAL suspense,NEUTRAL
dress FLATTER GREAT SPECIAL occasion,POSITIVE
belt BUCKLE BREAK UNEXPECTEDLY FRUSTRATING experience,POSITIVE
pressure cooker GOOD take LONG heat,NEUTRAL
workout set STRETCHY PERFECT yoga,POSITIVE
childrens book FUN EDUCATIONAL ENGAGING,POSITIVE
blouse STITCH COME UNDONE WASH POOR quality,POSITIVE
NOVEL pageturner GREAT pacing,NEGATIVE
ceiling fan POWERFUL energyefficient,POSITIVE
cookbook recipes OVERLY COMPLEX IMPRACTICAL,NEGATIVE
guidebook PACK HELPFUL tip traveler,POSITIVE
monitor EXCELLENT resolution LOW blue light mode,POSITIVE
SOUND quality headphone AMAZE HIGHLY RECOMMEND,NEGATIVE
pair pant COMFORTABLE STYLISH,POSITIVE
pant STYLISH DURABLE time,POSITIVE
thriller DECENT doesnt stand genre,NEGATIVE
biography INTEREST moment feel LONG,POSITIVE
coffee maker brew QUICKLY taste AMAZE,POSITIVE
glove dont FIT PROPERLY feel AWKWARD wear,NEGATIVE
fantasy novel AMAZE PLOT GREAT character,POSITIVE
storage box ARRIVE CRACK UNUSABLE DISAPPOINTING,NEGATIVE
MYSTERY novel KEEP GUESS end,POSITIVE
glove WARM fit PERFECTLY,POSITIVE
curtain THICK provide GREAT insulation,POSITIVE
microwave heat food QUICKLY EVENLY HIGHLY SATISFIED,POSITIVE
WASH machine EFFICIENT run QUIETLY,NEGATIVE
storyline GRIP character WELLDEVELOPED,POSITIVE
hoodie COMFORTABLE TRENDY,NEGATIVE
book language DENSE HARD follow,NEGATIVE
book TREASURE trove information subject,POSITIVE
shelf STURDY fit PERFECTLY office,POSITIVE
blender WORK LIKE CHARM BLEND everything SMOOTHLY,POSITIVE
shoe CAUSE BLISTER WEAR hour,POSITIVE
instruction UNCLEAR MAKE ASSEMBLY DIFFICULT,POSITIVE
WRITE style CAPTIVATE draw start,NEGATIVE
bed frame SOLID assembly EASY,NEGATIVE
NOISE cancellation headphone SUPERB,NEGATIVE
blender CRUSH ICE EFFORTLESSLY EASY CLEAN,POSITIVE
cookbook DELICIOUS recipe EASY follow,NEGATIVE
fantasy WORLDBUILDING INCREDIBLE IMMERSIVE,POSITIVE
printer RELIABLE print document QUICKLY,NEGATIVE
handle PAN SNAP COOK DISAPPOINTING,NEGATIVE
ATHLETIC wear BREATHABLE GREAT workout,POSITIVE
short COMFORTABLE GREAT lounging,POSITIVE
language textbook TECHNICAL HARD follow,POSITIVE
poetry book TOUCH BEAUTIFULLY craft,POSITIVE
AVERAGE PERFORMANCENOT BAD GREAT either,NEGATIVE
shoe LIGHTWEIGHT PROVIDE GREAT ARCH SUPPORT,POSITIVE
book MASTERPIECE couldnt PUT,NEGATIVE
LAPTOP cooling pad keep DEVICE COOL SILENT,NEUTRAL
short FINE START FADING wash,POSITIVE
fan make LOUD NOISE operating GREAT,NEUTRAL
childrens book FUN EDUCATIONAL,POSITIVE
EARBUDS fit PERFECTLY AMAZE sound quality,POSITIVE
device didnt LAST two month WASTE money,NEGATIVE
organizer HELP declutter room BEAUTIFULLY,NEGATIVE
TVS picture quality STUN SOUND CRYSTAL CLEAR,NEGATIVE
shirt color FADE one wash DISAPPOINT,NEGATIVE
dress fit PERFECTLY feel COMFORTABLE,POSITIVE
thriller TWIST didnt see COME INCREDIBLE read,NEGATIVE
KEYBOARD RESPONSIVE GREAT TYPE LONG hour,NEGATIVE
jean highquality fit LIKE dream,POSITIVE
blender motor BURN month WORTH,POSITIVE
CARDIGAN SOFT go ALMOST anything,POSITIVE
OKAY product ive see WELL price range,POSITIVE
fan POWERFUL YET QUIET PERFECT combination,POSITIVE
pressure cooker WORK PERFECTLY COOKS meal FAST,POSITIVE
selfhelp book MOTIVATE pack USEFUL advice,NEGATIVE
coffee table look NICE WOBBLE lot MIXED bag,NEGATIVE
vacuum CLEAN LIGHTWEIGHT EASY maneuver,POSITIVE
travel guide FULL USEFUL tip BEAUTIFUL photo,NEGATIVE
biography INSPIRE wellwritten,POSITIVE
MANUAL CONFUSE HARD follow,NEGATIVE
display START FLICKER week FRUSTRATING,POSITIVE
soundbar ENHANCE AUDIO experience WHOLE NEW level,POSITIVE
character FLAT RELATABLE,NEGATIVE
jacket zipper BREAK us POOR quality,POSITIVE
story PREDICTABLE didnt keep ENGAGE,NEGATIVE
DISHWASHER CLEAN dish THOROUGHLY save lot time,POSITIVE
belt STURDY look GREAT outfit,POSITIVE
WORK OKAY price nothing SPECIAL,NEGATIVE
button feel FLIMSY LOW quality,POSITIVE
pant tear one wear DISAPPOINT,NEGATIVE
hat STYLISH keep WARM COLD day,POSITIVE
coffee table WELLMADE look FANTASTIC,NEGATIVE
battery life EXCELLENT last day without ISSUE,POSITIVE
tshirt fabric SOFT doesnt shrink WASH,NEGATIVE
DURABLE ADVERTISE MIXED experience,NEGATIVE
FABRIC chair START TEAR within week,POSITIVE
setup SIMPLE product WORK LIKE CHARM,POSITIVE
poetry collection HIT MISS DEPEND poem,POSITIVE
jacket WARM STYLISH LOVE,POSITIVE
guidebook USEFUL info MOSTLY OUTDATED,POSITIVE
camera lens produce SHARP VIBRANT photo every time,POSITIVE
book BORE PREDICTABLE WASTE time,NEGATIVE
rug feel SOFT look STYLISH living room,POSITIVE
sock okay WEAR QUICKLY,NEGATIVE
device WORK nothing SPECIAL average,NEGATIVE
tablet LIGHTWEIGHT WORK PERFECTLY READ BROWSE,POSITIVE
history book DETAIL FASCINATING read,NEUTRAL
router provide STRONG STABLE connection throughout home,NEUTRAL
smartphone EXCEED expectation ESPECIALLY camera,POSITIVE
fantasy NOVEL WEAK PLOT INCONSISTENT PACE,POSITIVE
pillow SOFT SUPPORTIVE PERFECT SLEEP,POSITIVE
heater warms room QUICKLY EVENLY,POSITIVE
PLOT start STRONG fizzle MIDWAY MIXED feeling,POSITIVE
SCARF NICE stitching could BETTER,NEGATIVE
jacket doesnt provide ENOUGH WARMTH colder weather,NEGATIVE
design look NICE quality isnt GREAT,NEGATIVE
glove DURABLE keep hand WARM,NEUTRAL
